title_id,title,genre,authors,weekdays,length,subscriber,rating,views,likes,status,daily_pass,synopsis
7109,Duchess in Ruins,Romance,"Candlebambi, Saedle, Lemon Frog",MONDAY,16,446678,9.21,6000000,580162,ONGOING,False,"Edele Lancaster is the perfect noble lady who has been groomed for the job. But when her husband whom she married reluctantly commits treason, she is branded a traitor and becomes a slave. Distraught, she tries to kill herself to preserve honor as a noble lady, but her new master, Count Laslo Krissus prevents her from doing so. Will Edele be able to find freedom and happiness in her new life as Count Krissus’ maid?"
6107,The Reborn Young Lord is an Assassin,Fantasy,"swingbat, CoffeeLime",MONDAY,52,902338,9.51,24800000,1700000,ONGOING,False,"Cyan Vert, illegitimate son of the Duke and the empire's greatest assassin, is betrayed by the righteous brother whose shadow he's always lived in. But just before the fatal blow strikes his throat, Cyan awakes to find he's just a boy again. The young lord has been reborn, and this time, he's not going to live in anyone's shadow!"
7121,A Savage Proposal,Romance,"Lee yuna, team IRUKA",MONDAY,16,611027,7.87,6800000,379279,ONGOING,False,"When the ruthless Lord Tiwakan seizes the kingdom of Nauk, Princess Liene Arsac faces an impossible choice: marry her captor or watch her homeland crumble. But Lord Tiwakan isn’t just after power; he desires Liene, and his devotion stirs a mix of fear and undeniable attraction within her. With her former betrothed, Lafitte, still missing, Liene must decide whether to trust Tiwakan's promises or hold out hope for a rescue. As dangerous secrets come to light, Liene’s decision could change the fate of Nauk—and her own heart—forever."
4886,I'm the Queen in This Life,Fantasy,"Themis, Omin, Lefaljinf",MONDAY,121,1200000,9.57,92700000,8500000,ONGOING,False,"The Etruscan Kingdom is stained with blood when the king’s illegitimate son Cesare conspires with his fiancée Ariadne to usurp the throne from his half-brother Alfonso. Despite Ariadne’s devotion to the new king, her faith is shattered when she is betrayed by him and eventually murdered by her own sister, who wishes to be queen. To her surprise, Ariadne finds herself sent back in time to her 17-year-old self. As she navigates the perils and opportunities of palace intrigue, Ariadne must make the most of her guile and grit to ensure that her tragic future does not repeat itself."
7169,I Grabbed the Leash of the Blind Beast,Romance,"The greedy gatsby, PPANG, Kayeh",MONDAY,18,223470,8.72,4000000,328913,ONGOING,False,"When an average twenty-something wakes up in the battered body of a nameless extra from a romance novel, all she wants is to go home. But first, she’ll have to see the story through as Rona, the maid of Grand Duke Ileon, the novel’s hero who was blinded by poison. She just has to make sure the heroine restores his sight with a special flower so they can have their happy ending -- easy enough, right? With a plot gone awry, Rona’s dangerous past, and the grand duke’s affections, can Rona stick to the story?"
6756,The Perfect Contract,Romance,"TTUSOL, TAEZA, Kim Sohee",MONDAY,28,302960,9.54,7500000,555126,ONGOING,False,"Junwon, a perfect man, and Ju-i, a woman who knows her abilities and charms, strike an unusual deal: they will date with one strict condition—no falling in love. What starts as a simple arrangement soon becomes complicated as unexpected feelings begin to surface. Can they stick to their promise, or will emotions get the better of them? Dive into a world where love is both the goal and the enemy, and find out if their hearts will follow the rules or break free."
6679,Hidden Class Gravity User,Fantasy,"Nekoko, Chikuwa",MONDAY,32,271043,7.72,7700000,527998,ONGOING,False,"“Who needs a bandit, anyway?”
That’s the last thing Ikoma Ichinose, a bandit-class hunter, heard before he got kicked out of his party and ran into a monster that would kill him.
But he was given a second chance at life in the form of a time-turning pocket watch.
“Yeah, who needs a bandit?”
This time, Ikoma chooses to be a gravity master to have a shot at becoming the greatest hunter of all time."
6748,You Can't Kill Me: The Secret Bride of the Black Wolf,Romance,"HAEMIN, Kingkang, Yim Hye",MONDAY,28,395972,9.45,7500000,531394,ONGOING,False,"Yeonwu Chae, a talented yet lonely composer from Korea, finds herself and her family trapped in the underworld after a car crash. In her first life, she marries Hyojo, who ultimately kills her. In her second life, she takes revenge by taking her own life in front of him. But despite her desperate wish for an end, she’s given another chance at life. However, this time, instead of encountering Hyojo, she is discovered by Hwita, a mysterious man with a black wolf as his guardian spirit. Can Yeonwu break the cycle and find true safety in this treacherous underworld?"
6315,The Reason for the Twin Lady's Disguise,Romance,"Amamiya Ley., MONA",MONDAY,73,415178,8.56,22800000,1800000,ONGOING,False,"The Lowreis family was wrongly sentenced to execution for attempting to murder the royal family. As Linali Lowreis, the daughter of the family, is on the brink of death, she fervently prays for a second chance. Miraculously, she wakes up three years in the past, reuniting with her deceased family members. However, tragedy looms as her brother, Liam, is poised to attend the School of Poltis, the reason for the family's tragedy. She begs her father to send her instead of her brother, as she is better at sword fighting. Now, faced with a new identity and unexpected challenges, Linali must attend the School of Poltis in her brother's place."
95,Tower of God,Fantasy,SIU,MONDAY,651,4000000,9.86,1200000000,64000000,ONGOING,False,What do you desire? Money and wealth? Honor and pride? Authority and power? Revenge? Or something that transcends them all? Whatever you desire—it's here.
6465,The Extra's Academy Survival Guide,Fantasy,"Korita, GREEN KYRIN",MONDAY,41,205585,9.7,7300000,532726,ONGOING,False,"Ed Rothstaylor is a third-rate villain in a game, disowned by his family and kicked out of the dormitory for his misdeeds. One day, our main character wakes up as this very Ed, and realizes he must earn a scholarship so he can graduate and be set for life. Now living in the woods, he resolves to keep away from the protagonists, but four of the female leads just won't leave him alone. Not only that, his presence starts to change the timeline and events of the game! Can Ed help the story progress while staying out of the limelight?"
7122,At Your Mercy,Fantasy,"Team Lightsalt, Team honeybread, Early Flower",MONDAY,17,224544,8.56,3500000,266566,ONGOING,False,"Getting transported into a novel once? Unusual. Twice? Welcome to Ji-an Han’s reality. Her second possession lands her in the body of a noble lady with an unfortunate reputation—the court fool. While still adjusting to this twist of fate, the enigmatic Crown Prince Iskan enters the scene with an unsettling proposition: ""Take me as yours,"" he says, ""I’ll become your most cherished possession.""  Between her reputation as a fool and a prince whose motives remain unclear, can Ji-an navigate this complicated new reality?"
4011,The World After the Fall,Action,"singNsong, Undead Ttalgi, Undead Gamja",MONDAY,156,1100000,9.68,73500000,6000000,ONGOING,False,"Faced with imminent defeat and certain death, would you choose to run – or continue to fight for a doomed world? When mysterious towers appear across the world, summoning monsters that prey on mankind, this is the choice presented to the Tower Walkers – adventurers with special powers to fight the monsters. On the brink of death, they can choose to use a “regression stone” to return to the past for a second chance, though this decision places them in a separate timeline forever. Stubborn Tower Walker Jaehwan rejects this choice, choosing to fight for the original timeline, and learning shocking secrets about the Tower along the way."
6534,Monster Princess of the Snowy Mountain,Fantasy,"Lee Nakeum, seewater, suho",MONDAY,35,249060,9.14,7200000,614220,ONGOING,False,"Valerie Beloff, a princess in exile, decides to take her own life on her 19th birthday. Abused by her own mother and exiled for her mother’s crimes, she had to live in the freezing Makleroad palace by herself, and she somehow acquired the powers of an ancient monster - the power to freeze things. Hopeless, she seeks an escape in death… only to find herself before her cruel mother, yelling at her once again. Is she dead? Is she reliving a memory? When her mother strikes her, the throbbing pain lets her know that this is neither a dream nor a memory!

This series contains themes regarding child abuse that may not be suitable for all readers. Viewer discretion is advised. If you or someone you know is struggling or in crisis, please reach out for help at Crisis Text Line (http://crisistextline.org/)."
6298,My Beloved Oppressor,Drama,"LICO, Cersei",MONDAY,46,315017,7.55,11300000,707317,ONGOING,False,"When the hand that used to so lovingly hold Annette Rozenberg ends up being the one that causes the downfall of her family, Annette demands that Heiner Waldemar give her a divorce. But Heiner refuses, stating that he must see her miserable by his side, no matter what. At odds, the two continue a precarious relationship, only to be met with wounds of the past that bring them tragically together. ""This series contains themes regarding abuse and self-harm that may not be suitable for all readers. Viewer discretion is advised. If you or someone you know is struggling or in crisis, please reach out for help at Crisis Text Line (http://crisistextline.org/)."""
2052,Your Smile is a Trap,Romance,AENGO,MONDAY,149,1200000,9.78,85100000,10100000,HIATUS,False,"Ex-idol trainee Kiyu has lived his whole life adored by everyone for his good looks. But he dreams of ordinary high school life, so when he puts on glasses to blend in with his peers, he finds that making friends is a lot harder when you don’t have your looks to fall back on. Not to mention he’s also socially awkward, his new seatmate has a permanent scowl on her face, and his fans have tracked him down at his new school."
958,My Giant Nerd Boyfriend,Slice of life,fishball,"MON,",1069,2400000,9.73,824100000,74400000,HIATUS,False,"Having a boyfriend who's a full foot taller than you might seem adorable at first, but it usually just ends up causing a whole bunch of minor inconveniences. Follow Fishball as she navigates the Malaysian life with her 6'5"" geeky boyfriend."
