title,author,likes
Love 4 a Walk,Nuria Sanguino,3.6M
The Remarried Empress,Alphatart / Sumpul,39.9M
To Whom It No Longer Concerns,LICO / fairydragon,1.8M
Maybe Meant to Be,honeyskein / damcho,12.4M
Selfish Romance,Gyogyo Park,1.4M
Star Catcher,Ro-taniah,"642,240"
The Greatest Estate Developer,Lee Hyun Min / Kim Hyunsoo,12.2M
Marionetta,Míriam Bonastre Tur,4.9M
Teenage Mercenary,YC / Rakyeon,16.3M
The Price Is Your Everything,Gones / Haco,2M
Trapped in a Soap Opera,Ganno / Apricot.K,1M
Devilish Son-In-Law,Park Sol / ilyuk,"142,026"
Behind Her Highness's Smile,Studio wooridle / Amid,"790,699"
I'm the Queen in This Life,Themis / Omin,8.5M
The Perfect Contract,TTUSOL / TAEZA,"553,360"
Winter Before Spring,moonbun00 / rinucomics,1.1M
A Child Who Looks Like Me,FLADA / PATNOC,"664,710"
Re:Trailer Trash,FortySixtyFour / Yishan Li,1.8M
Endless Summer,HEYU / Solbangul,"85,913"
From a Knight to a Lady,Ink. / Hyerim Sung,8.6M
How Far Can We Go?,Lee Yusu / ted,"143,345"
"Cry, or Better Yet, Beg",VAN.J / Solche,1.1M
Acception,Colourbee,16.2M
Cinderelle,troyzworld,"289,959"
Love Me Knot,Sophia,6.9M
My Beloved Oppressor,LICO / Cersei,"706,083"
Klimt's Kisses,Limes,1.1M
Melting Slowly,Team SABANA / Team J,"820,525"
Locked Onto You,Lee dala / Jeong Hyejin,2.1M
Odd Girl Out,Morangji,23.7M
Lookism,Taejun Pak,55.3M
Go Away Romeo,Paintword,4.3M
After School Lessons for Unripe Apples,Soonkki,7.6M
It Wasn't Love at First Sight,IM,"50,782"
Not So Silent,ROSEOAK,"503,608"
High School Queen,critie / Nehae,"183,994"
Your Throne,SAM,18.6M
As If Love Doesn't Exist,Hae-dam Kim / Yun-jo Kim,1.2M
Killer Peter,Kim Junghyun / Lim Lina,1.3M
Our Night Shift,Circlecircle / Showbi,"243,489"
Yeonwoo's Innocence,Esol,"186,241"
I Stole the First Ranker's Soul,LEE JUNG / EUDAM,1.3M
Back to Chanbi,jang sawhee,"182,178"
A Flower Blooms on the Wall,Eunjeong / Myeonla,"83,071"
Adopting a Zombie,_gwagj,"75,040"
Return Your Soul,Yaongyi,"181,150"
Bunny Girl and the Cult,Merryweather,"538,732"
I'm Dating a Psychopath,NoSleepAreWe,1.1M
The Dark Lord's Confession,Topseoung,3M
Sweetheart,Buttercup,"436,165"
Transference,Hyang-yu,"43,783"
Silent Screams,Glamist,"893,698"
The Second Lead Syndrome,Batusawa,1.3M
Dark Mermaid,DDOGAK,"333,196"
Potion Witch,imjayu,"717,316"
Chasing Red,SilentMaru / Isabelle Ronin,1.5M
The Count's Secret Maid,TON / MIDNIGHT STUDIO,"277,457"
The Password Is 002!,PADO,"233,823"
The Worst Villainess,LICO / Shidaka Saya,"429,503"
The Fox Club,HJ. Hwang,2.3M
You Just Made My Day,yejo,"73,425"
Love in Session,YERANG / SEUNG9,"78,286"
Juvenile Detention Center,Chungmin / Lee Soo hyon,"107,625"
Skool of Street,Slanket,"222,175"
Study Group,Hyungwuk Shin / Seungyeon Ryu,3.9M
Stealing Her Place,SERAVIEE / 2L,"249,213"
Watermelon,Rorita,7.4M
The Spark in Your Eyes,MURO,2.9M
Sisters at War,Maenggi Ki,1.5M
My Dud to Stud Boyfriend,YERANG / SUTGGI,1.8M
Juvenile Offender,Man's story / Jeongjongtaek,"857,663"
How to Hold His Leash,99C / BECKDO,"362,324"
Letters on the Wall,Jaelyngs / MissBlackClover,"478,063"
I Spy a Married Life,HADA / janggreen,1.5M
"Unnie, I Like You!",Jeongussi,"314,616"
The Heir,Dongwoo Han / Dohee Lee,"102,337"
"Like Mother, Like Daughter",YIDAHM,"883,104"
Let's Meet After Work,Hanna Park / HamDude,"535,729"
Unstoppable Hayeong,woo_eong,"785,828"
My Virtual God is a Teenage Girl,Park Jang Go / Yi Woo,"216,079"
Reborn Rich,SK / JP,1.2M
The Students of Illip Arts High,Backbone,"399,901"
My Blood-Curdling Campus Life,NIMNI,"120,099"
Elegant Desire,Kim Jong Geon,"377,758"
Manager Kim,Jeongjongtaek / Toy,2.5M
My Comeback as the Youngest Member,mattgom / Kang seoul,"355,704"
King of the Arena,LICO / Kyeongchan Han,"175,489"
Trauma Center: Golden Hour (The Trauma Code),Hansanleega / Hongbichira,"499,477"
Deadpoint,MAYORAC,"17,004"
Marry My Husband,sungsojak / LICO,10.7M
This Wasn't My Plan,BOM SOHEE / SEI KIM,"454,805"
Dear Summer Sky,SOJANG,"47,919"
Random Target,INE / Yuhan,"608,923"
Radiant Rewind,SANG HA,"35,605"
I'll Give You the Most Rotten One,Yoonda,"179,344"
Annie Green Hates Girls,Minorinmakes,"669,181"
The Tax Reaper,STUDIO WEiiB / Wintersleep Turtle,1.3M
Reflection of the Soul,Magovi,"173,513"
A Life-Changing Turn,Gwang-jin / Ghna,"59,505"
The Last Passage,RD / KIRO,"125,416"
I Abdicate My Title of Empress,Kim hee sung / galbi,2.5M
Midnight Rain,Pani,2M
Guardian Girl,MJ Kim,"87,148"
Paw-ther Knows Best,MiTi / Gaecho,"156,381"
To Drown In You,Jaengnwo / Sung sil,"76,484"
Monster Duke's Daughter,Han ocean / Chal Lan,3.1M
A Man's Man,Dogado / Lucas,1.3M
BOSS RETURN,Seijun Yang,"27,810"
Revenge Love,Tino,"318,536"
Children of Orbit,Na Yoonhee / GooKim,"169,334"
One-of-a-Kind Romance,Dooboo,1.1M
Random Chat,PARK EUN HYUK,3.5M
Designated Bully,GRIMZO,2.2M
The Bad Son,Jeong Chan,"82,394"
True Beauty,Yaongyi,55.6M
A DeadbEAT's Meal,CHEESE,"818,347"
Angel Wings,Brandon Chen / Comipa,"57,231"
How a Goddess Wins Over Tigers,Awan / Chungla,"372,861"
Emerald Midnight's Lover,Baeck Jack,"91,984"
I Give You My All,seokyeong / mangnanyong,"145,198"
"Patience, My Lady!",daybook / ebisushi,"350,165"
Perfect Marriage Revenge,Yibambe / so young,7.5M
The World of Dating,Yullo,"237,900"
Daytime Star,Chaeun / Godago,4M
Blessed,M. Victoria Robado,2.1M
Sixth Sense Kiss,Got W / Jocobong,6.6M
Amid the Changing Seasons,RYO. / YABOMI,"331,237"
Dear Nemesis,MUJEONG / ohsso,3.4M
My Life as a Loser 2,PTJ COMICS / Peanut,"109,363"
Wished You Were Dead,SEOCHEONG / ARAN,8.6M
To Love Your Enemy,Jungyoon / Taegeon,13.4M
The RUNWAY,Domi / Nokdu,4.4M
Bastard,Carnby Kim / Youngchan Hwang,8.1M
Secretary Out-of-Order,QuornQuorn / Parand,2.6M
The World is Money and Power,Dongwoo Han / Dohee Lee,1.4M
My Reason to Die,YUJU,3.9M
Mistake,Cindy Chwa / Honeytoast,"673,719"
When the Third Wheel Strikes Back,Slipperman / Haegeuneul,1M
Weak Hero,SEOPASS / RAZEN,17.6M
For the Third Time,Got W / NARA,"927,268"
Seasons of Blossom,HONGDUCK / NEMONE,9.2M
Edith,Swansgarden,11.2M
My Killer Boyfriend,GhostfaceNikol,"96,766"
Unholy Blood,Lina Im / Jeonghyeon Kim,13.9M
No Marriage is Perfect,Lee Dahong / Long.B,2.8M
Our Secret Alliance,Cakenyam,2.1M
Bitten Contract,sungeun,4.4M
I Don't Hate Us,gpiee,"525,078"
Mr. Baek,Haetae / Punch Kick,"479,615"
Hooky,Míriam Bonastre Tur,10.7M
Our Paradise,greeneer,"761,813"
Couple Breaker,Maenggi Ki / Taegeon,3.6M
Tomorrow,Llama,"485,754"
Viral Hit,Taejun Pak / Kim Junghyun,9.6M
It's Mine,LuckS,10.7M
Socializing 101,Relseiyy,"51,988"
Surviving as a Fish,DONG9,"739,629"
My Office Rebound Marriage,MIMIK / Lee Dalli,"380,071"
Secretary's Escape,HoneyBong / Solbangul,1M
Hectopascal,buffering / gil seonggeun,1M
Another Love,I SOON KI / DDOGAK,1.5M
Nice To Meet You,Wishroomness,9.6M
Shotgun Boy,Carnby Kim / Hongpil,4.6M
The Makeup Remover,Lee Yeon,14M
Our Voice,Abyssal Team,"102,539"
The Horizon,JH,"455,806"
To You Who Swallowed a Star,ARI,6.3M
Love from Beyond,Studio XIII,"182,599"
My Life as a Loser,Taejun Pak / SW Jeon,"923,671"
Age Matters,Enjelicious,29.3M
My Dear Cold-Blooded King,lifelight,16.2M
Let's Get Divorced!,Seohu / Haein,1.6M
Where Tangents Meet,instantmiso,3M
Complicated Cohabitation,Hwang Han-Young / I-room,"389,943"
Icy Copper,Toivoshi,"162,762"
SAVE ME,Big Hit Ent. / LICO,4.2M
She's Hopeless,Seokwoo,6M
A Chance At Last,Dindon / Seo hye eun,1.5M
Cheese in the Trap,Soonkki,9.9M
Romantic Flow,seodan / Y.N,"426,117"
Lifesaving Romance,HAPPYBOOKSTOYOU / SJ,"452,528"
The Sound of Another,Baek June / Thresher,"461,602"
Cierra,Studio wooridle / Rana,1.3M
Lavender in June,bamhee / gaesal,"243,753"
The Blood of the Butterfly,Remin,2.1M
She Would Never Know,Cafelatte / JINHA,1.7M
"Mom, I'm Sorry",MiTi / GUGU,5.9M
The Four of Them,Mai Hirschfeld_,9M
Knife in Her Heart,ori,"659,455"
Money Game (The 8 Show),BAE jin soo,"317,484"
The Remarriage Contract,Seolwoohee / JEJE,1.1M
The Distance Between Us,YUJU,"436,101"
Extraordinary Attorney Woo,Yuil / HwaUmJo,"811,598"
The Prenup,FLADA / Siwon,1.2M
Death's Game,LEE WONSIK / GGULCHAN,1.7M
Girls of the Wild's,HUN / ZHENA,8M
Mystic Prince,aheuredal,1.5M
"Date First, Love Later",HAPPYBOOKSTOYOU / jungmi,2.1M
Charming You,Gulrim / Park Soo jung,"932,324"
Seagull,Tsubo,"62,889"
The Girl Downstairs (Doona!),MIN SONGA,4M
My ID is Gangnam Beauty!,Maenggi Ki,1.6M
Little Lady Mint,Yoon Oh / BONGYEE,1.3M
The Guy with Pretty Lips,Godot / Flowbee,"595,317"
Back to You,Honey B,5.2M
A Good Day to be a Dog,Lee Hye,11.2M
Love and Leashes,Winter,2.2M
Fool Me Twice,JiJi,"284,762"
Yumi's Cells,Donggeon Lee,19.9M
1 Second,sini / kwang woon,1M
Madame Outlaw,Perciren / WmW,1.4M
Oh! Holy,Ahyun,8.8M
Suhee0,bdmood,"708,895"
The Producer's Second Life,Wangsibri / Yeoloun,"670,661"
Secret Playlist,2F,4.8M
30 Minutes With You,ondo,"730,208"
Let Me Stay Over Tonight!,Yunana / Heabun,1.9M
A Whirlwind Campus Affair,Uiyoung,2.1M
Spirit Fingers,Han Kyoung Chal,5.7M
No Outtakes,Go Sun Young,"915,260"
Pyramid Game,Dalgonyak,2.6M
My Boo,Jeongseo,3.2M
On-Air,Shim bokil,"196,147"
Days of Hana,Seokwoo,7.7M
Dear X,VANZIUN,"939,935"
Tales of Greed,Juin Kim / PTJ COMICS,"848,463"
After School Recipe,HYE RU,"240,303"
Savior,Junqi / Jo9,"517,377"
Muse on Fame,SOOJIN,4.5M
Taste of Illness,Ilkwon Ha,"602,717"
Mythical Errand,GGOLI,"602,582"
The Snake and the Flower,Na-eum So,1.1M
To Make You Happy,Redgru,"186,030"
